frame_no,team_name,team_score,striker_name,striker_runs,striker_balls,non_striker_name,non_striker_runs,non_striker_balls,bowler_name,bowler_runs,wickets,overs,runrate,reqrun,speed,action
00000,SL,7/138,GUNARATHNE,47,N/A,KULASEKARA,12,0,HENRIQUES,16,0,N/A,N/A,N/A,N/A,N/A
00001,SL,7/138,GUNARATHNE,47,36,KULASEKARA,12,0,HENRIQUES,16,0,N/A,7.67,18.00,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 12 BALLS
00002,SL,7/138,GUNARATHNE,47,36,KULASEKARA,12,0,HENRIQUES,16,0,N/A,7.67,18.00,118.4KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 12 BALLS
00003,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,18.1,7.60,19.64,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00004,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,18.1,7.60,19.64,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00005,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,N/A,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00006,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00007,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00008,SL,7/138,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00009,SL,7/139,GUNARATHNE,47,37,KULASEKARA,12,7,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00010,SL,7/139,GUNARATHNE,47,37,KULASEKARA,12,0,HENRIQUES,16,0,N/A,7.60,19.64,125.5KM/H,SRI LANKA NEED 36 MORE RUNS TO WIN FROM 11 BALLS
00011,SL,7/144,GUNARATHNE,53,38,KULASEKARA,12,7,HENRIQUES,22,0,18.2,7.85,1,N/A,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00012,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,18.2,7.85,18.00,N/A,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00013,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,18.2,7.85,18.00,N/A,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00014,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00015,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00016,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00017,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00018,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00019,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00020,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00021,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00022,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00023,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00024,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,0,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WINFROM 10 BALLS
00025,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00026,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00027,SL,7/144,GUNARATHNE,53,N/A,KULASEKARA,12,7,HENRIQUES,22,0,N/A,7.85,18.00,125.6KM/H,SRI LANKA NEED 30 MORE RUNS TO WIN FROM 10 BALLS
00028,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,30.2,4.62,4.12,N/A,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00029,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,N/A,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00030,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,N/A,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00031,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00032,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00033,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,N/A,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00034,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TOWIN FROM 118 BALLS
00035,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TOWIN FROM 118 BALLS
00036,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TOWIN FROM 118 BALLS
00037,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00038,PAK,1/140,BABAR,34,N/A,HAFEEZ,71,102,STARC,36,0,N/A,4.62,4.12,144.3KM/H,PAKISTAN NEED 81 MORE RUNS TO WIN FROM 118 BALLS
00039,PAK,2/142,HAFEEZ,72,103,N/A,N/A,N/A,FAULKNER,29,1,31.4,4.48,4.31,N/A,PAKISTAN NEED 79 MORE RUNS TO WIN FROM 110 BALLS
00040,PAK,2/142,HAFEEZ,72,103,N/A,N/A,N/A,FAULKNER,29,1,31.4,4.48,4.31,N/A,PAKISTAN NEED 79 MORE RUNS TO WIN FROM 110 BALLS
00041,PAK,3/152,MALIK,6,14,SHAFIQ,2,0,CUMMINS,34,0,N/A,4.34,4.60,N/A,PAKISTAN NEED 69 MORE RUNS TO WIN FROM 90 BALLS
00042,PAK,3/152,MALIK,614,N/A,SHAFIQ,2,0,CUMMINS,34,0,N/A,4.34,4.60,141.9KM/H,PAKISTAN NEED 69 MORE RUNS TOWIN FROM 90 BALLS
00043,PAK,3/152,MALIK,6,14,SHAFIQ,2,0,CUMMINS,34,0,N/A,4.34,4.60,N/A,PAKISTAN NEED 69 MORE RUNS TO WIN FROM 90 BALLS
00044,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,35.2,4.44,4.36,N/A,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00045,DE,N/A,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,35.2,4.44,4.36,N/A,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00046,PAK,3/157,MALIK,10,N/A,SPEED,142,0,CUMMINS,39,0,N/A,4.44,4.36,N/A,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00047,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00048,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00049,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00050,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00051,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TOWIN FROM 88 BALLS
00052,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TOWIN FROM 88 BALLS
00053,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00054,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00055,PAK,3/157,MALIK,10,N/A,SHAFIQ,2,0,CUMMINS,39,0,N/A,4.44,4.36,142.0KM/H,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 88 BALLS
00056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00057,PAK,4/157,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,35.3,4.42,4.41,N/A,PAKISTAN NEED 64 MORE RUNS TO WIN FROM 87 BALLS
00058,PAK,3/160,MALIK,12,N/A,SHAFIQ,3,0,HAZLEWOOD,24,0,36.3,4.38,4.52,N/A,PAKISTAN NEED 61 MORE RUNS TOWIN FROM 81 BALLS
00059,PAK,3/160,MALIK,12,20,SHAFIQ,3,0,HAZLEWOOD,24,0,36.3,4.38,4.52,N/A,PAKISTAN NEED 61 MORE RUNS TOWIN FROM 81 BALLS
00060,PAK,3/160,MALIK,12,20,SHAFIQ,3,0,HAZLEWOOD,24,0,36.3,4.38,4.52,N/A,PAKISTAN NEED 61 MORE RUNS TOWIN FROM 81 BALLS
00061,PAK,3/160,MALIK,12,N/A,SHAFIQ,3,14,HAZLEWOOD,24,0,36.3,4.38,4.52,N/A,PAKISTAN NEED 61 MORE RUNS TOWIN FROM 81 BALLS
00062,PAK,3/160,MALIK,12,N/A,SHAFIQ,3,0,HAZLEWOOD,24,0,N/A,4.38,4.52,135.0KM/H,PAKISTAN NEED 61 MORE RUNS TOWIN FROM 81 BALLS
00063,PAK,3/160,MALIK,12,N/A,SHAFIQ,3,0,HAZLEWOOD,24,0,N/A,4.38,4.52,135.0KM/H,PAKISTANNEED 61 MORE RUNS TO WIN FROM 81 BALLS
00064,PAK,3/195,SHAFIQ,13,28,MALIK,35,43,STARC,45,1,42.4,4.57,3.55,N/A,PAKISTAN NEED 26 MORE RUNS TO WIN FROM 44 BALLS
00065,PAK,3/195,SHAFIQ,13,28,MALIK,35,43,STARC,45,1,N/A,4.57,3.55,142.7KM/H,PAKISTAN NEED 26 MORE RUNS TO WIN FROM 44 BALLS
00066,PAK,3/195,SHAFIQ,13,28,MALIK,35,0,STARC,45,1,N/A,4.57,3.55,142.7KM/H,PAKISTAN NEED 26 MORE RUNS TOWIN FROM 44 BALLS
00067,PAK,4/203,UAKMAL,3,6,MALIK,40,47,FAULKNER,29,2,44.3,4.56,3.27,N/A,PAKISTAN NEED 18 MORE RUNS TO WIN FROM 33 BALLS
00068,ENG,9/302,BROAD,20,31,ANDERSON,5,9,HAZLEWOOD,57,0,N/A,N/A,N/A,139.0KM/H,N/A
00069,ENG,9/302,BROAD,20,N/A,ANDERSON,5,9,HAZLEWOOD,57,0,N/A,N/A,N/A,139.0KM/H,N/A
00070,ENG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00071,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00072,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00073,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00075,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00076,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00077,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00078,ENG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00080,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00081,ENG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00082,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00083,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00084,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00085,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00087,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00088,AUS,0/7,BANCROFT,5,N/A,WARNER,2,3,BROAD,3,0,3.3,N/A,N/A,N/A,N/A
00089,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00090,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00091,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00092,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00093,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00094,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00095,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00096,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00097,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00098,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00099,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00100,AUS,1/7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.4,N/A,N/A,N/A,N/A
00101,AUS,1/8,KHAWAJA,0,5,WARNER,3,0,ANDERSON,5,0,4.4,N/A,N/A,N/A,N/A
00102,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00103,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00104,ENG,N/A,N/A,N/A,N/A,ENG,302,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00105,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00106,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
00107,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
